username,balance,email,phone
alice,436,alice@example.com,123-456-7890
bob,564,bob@example.com,234-567-8901
charlie,500,charlie@example.com,345-678-9012
david,500,david@example.com,456-789-0123
eve,500,eve@example.com,567-890-1234
frank,500,frank@example.com,678-901-2345
grace,500,grace@example.com,789-012-3456
henry,500,henry@example.com,890-123-4567
ivy,500,ivy@example.com,901-234-5678
jack,500,jack@example.com,012-345-6789
type,seq,client,message,sender,decision,round,timestamp
request,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",pbft-client,0,1,1724616818296
pre-prepare,1724616818228,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724616818622
pre-prepare,1724616818228,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node2,0,1,1724616828541
pre-prepare,1724616818228,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node3,0,1,1724616838598
pre-prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616848440
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724616848654
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724616848680
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724616848800
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724616848914
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724616848955
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724616849016
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724616849074
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724616849110
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724616849168
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724616849301
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724616849394
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724616849494
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616849603
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724616849708
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724616849769
prepare,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724616849858
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724616849933
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724616850183
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724616851026
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724616851171
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724616851066
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724616851110
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724616850972
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616851311
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724616851436
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724616851524
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724616851477
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724616851513
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724616851865
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724616851874
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724616851897
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724616851915
request,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",pbft-client,0,1,1724616871093
pre-prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616871219
pre-prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724616871279
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724616871494
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724616871599
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616871653
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724616871694
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724616871757
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724616871860
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724616871971
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724616872079
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724616872233
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724616872187
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724616872282
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724616872379
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724616872707
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616872932
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724616873076
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724616873130
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724616873154
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724616873167
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724616873228
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724616873322
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724616873290
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724616873650
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724616873794
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724616873859
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724616873935
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724616874064
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724616874215
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724616874262
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724616874469
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724616874507
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724616874621
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724616874663
request,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",pbft-client,0,1,1724616919784
pre-prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724616919912
pre-prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616919951
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724616920145
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724616920196
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724616920318
